jockey,jockey_career_wins,jockey_group_1_wins,jockey_prize_money,jockey_win_pct,jockey_recent_win_pct,jockey_group_1_win_pct,jockey_group_1_place_pct,jockey_group_2_win_pct,jockey_group_2_place_pct,jockey_group_3_win_pct,jockey_group_3_place_pct,jockey_listed_win_pct,jockey_listed_place_pct,jockey_other_win_pct,jockey_other_place_pct
brendan-ward,1681,0,18875192,11,2,,,0,0,0,0,2,17,11,32
brendon-mccoull,1943,0,25446285,20,20,0,0,0,0,6,17,17,40,20,46
brenton-avdulla,1348,13,105511738,13,12,4,21,7,28,7,28,9,30,14,40
brett-prebble,1354,32,88441464,13,12,8,25,8,29,10,29,10,27,14,39
brian-higgins,465,0,12348050,7,6,0,0,0,0,0,0,3,12,7,26
brian-park,544,1,11784797,8,14,6,20,16,50,7,28,3,18,8,28
brock-ryan,314,0,16409176,9,12,0,0,15,21,4,21,5,21,9,28
brodie-loy,517,0,14362556,12,10,0,0,25,25,0,13,8,35,12,36
brooke-stower,443,0,8877790,9,6,,,,,,,0,0,9,29
callan-murray,71,0,1958136,8,6,0,0,33,33,0,14,0,5,8,26
campbell-rawiller,176,0,5583606,10,14,,,,,0,0,0,0,10,29
carleen-hefel,215,0,10082310,10,6,,,0,0,10,20,0,28,10,30
cejay-graham,227,0,7620310,8,12,,,,,0,0,0,0,8,28
celine-gaudray,121,0,5485930,10,10,0,0,,,0,0,0,25,10,30
chad-schofield,385,4,33986350,11,10,3,15,5,22,5,22,8,20,12,35
chloe-azzopardi,151,0,4638011,8,,,,,,25,25,5,16,8,28
chris-mccarthy,13,0,823315,6,6,,,,,,,,,6,20
chris-obrien,539,1,9775510,10,2,16,16,0,20,18,27,4,14,10,31
chris-parnham,1086,1,43979080,14,18,1,23,6,25,15,29,16,39,14,37
chris-symons,1225,0,40230362,9,6,0,11,4,20,3,17,7,23,10,30
chris-williams,0,0,800,,,,,,,,,,,0,0
christian-reith,1565,4,50700054,11,8,4,12,3,22,5,25,7,26,11,34
christine-puls,651,0,9250224,5,4,0,0,,,7,23,0,16,5,19
clayton-gallagher,481,0,9091107,14,16,,,,,,,0,33,14,39
codi-jordan,129,0,2987470,12,,,,,,0,0,10,30,12,34
craig-newitt,2254,33,104328330,11,4,7,19,6,24,7,21,8,24,12,35
craig-robertson,1323,0,20215474,8,20,0,0,0,0,5,23,1,15,8,27
craig-williams,2090,70,215348589,13,16,9,27,12,32,12,33,12,35,13,37
damian-lane,1374,29,117278723,14,30,10,28,14,36,12,33,10,31,15,40
damien-oliver,2788,125,247809336,16,8,11,34,14,38,13,34,15,39,17,43
damien-thornton,914,2,35753339,10,16,3,12,6,16,5,22,5,21,10,31
